Designator,Mid X,Mid Y,Layer,Rotation
C1,30.58,15.95,Top,90.0
C2,25.37,16.03,Top,180.0
C3,18.16, 7.39,Top,90.0
C4,27.43, 4.93,Top,180.0
C5, 2.03, 8.33,Top,90.0
C6, 4.37,12.73,Top,180.0
C7, 4.37,15.72,Top,180.0
C8, 9.58,16.26,Top,180.0
C9,12.73,13.59,Top,270.0
C10,16.69,13.74,Top,90.0
C11,21.16,10.90,Top,270.0
C12,38.53,12.24,Top,270.0
C13,32.33, 4.57,Top,180.0
C14,35.28,12.27,Top,270.0
C15,43.66, 5.79,Top,90.0
C16,45.92, 5.79,Top,90.0
C17,48.08, 5.74,Top,90.0
JP1,26.04, 1.91,Top,180.0
R1,43.87, 9.50,Top,90.0
R2,46.00, 9.42,Top,90.0
R3,50.32, 5.71,Top,90.0
R4,20.88, 5.00,Top,180.0
R5,20.88, 7.09,Top,180.0
R6,18.54,11.25,Top,270.0
R7,15.11,10.39,Top,0.0
R8,13.39, 7.42,Top,90.0
R9, 9.32,12.50,Top,180.0
R10,15.70, 7.39,Top,270.0
R11,38.53, 7.67,Top,270.0
R12,35.26, 7.54,Top,270.0
U1, 7.87, 8.13,Top,270.0
U2,28.07, 9.96,Top,0.0
